year,planting_trees_amount,house_migration_amount,dam_levee_construction_cost,paddy_dam_construction_cost,capacity_building_cost,transportation_invest,agricultural_RnD_cost,cp_climate_params,user_name,scenario_name,timestamp
2089,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:09:59.503134+00:00
0,,,,,,,,,,,
2090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,test_current_climate_cycle3,2026-09-16 05:09:59.580652+00:00
2090,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:09:59.696180+00:00
2090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,test,test_baseline_cycle3,2026-09-16 05:09:59.699192+00:00
2091,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.9,test,test_sensitivity_1.9_cycle3,2026-09-16 05:09:59.809721+00:00
2091,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:09:59.859246+00:00
2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,test_current_climate_cycle3,2026-09-16 05:09:59.926767+00:00
2092,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:09:59.999776+00:00
2093,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.9,test,test_sensitivity_1.9_cycle3,2026-09-16 05:10:00.049261+00:00
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,test,test_baseline_cycle3,2026-09-16 05:10:00.106053+00:00
2094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,test_current_climate_cycle3,2026-09-16 05:10:00.166569+00:00
2094,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.9,test,test_sensitivity_1.9_cycle3,2026-09-16 05:10:00.211581+00:00
2094,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:10:00.281114+00:00
117+00:00,,,,,,,,,,,
,,,,,,,,,,,
2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,test_current_climate_cycle3,2026-09-16 05:10:00.375130+00:00
2095,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:10:00.384129+00:00
2096,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.9,test,test_sensitivity_1.9_cycle3,2026-09-16 05:10:00.482650+00:00
2097,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:10:00.582161+00:00
2098,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,test,test_team_cycle3,2026-09-16 05:10:00.710684+00:00
684+00:00,,,,,,,,,,,
2099,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.9,test,test_sensitivity_1.9_cycle3,2026-09-16 05:10:00.811198+00:00
0,0.0,0.0,0.0,0.0,0.0,4.5,test,test_baseline_cycle3,2026-09-16 05:10:00.828715+00:00,,
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test,test_current_climate_cycle3,2026-09-16 05:10:00.881716+00:00
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,test,test_baseline_cycle3,2026-09-16 05:10:00.982236+00:00
00:00
