user_name	scenario_name	period	raw	score	total_score	timestamp
250611	シナリオ1	2026-2050	{'収量': 4822.573634287063, '洪水被害': 17742636.57129367, '予算': 0.0, '生態系': 99.99995, '都市利便性': 0.0}	{'収量': 48.2, '洪水被害': 91.1, '予算': 100.0, '生態系': 100.0, '都市利便性': 0.0}	67.86	2025-06-10 21:34:59.154115+00:00
Dave	シナリオ1	2026-2050	{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.99995, '都市利便性': 0.0}	{'収量': 50.0, '洪水被害': 100.0, '予算': 100.0, '生態系': 100.0, '都市利便性': 0.0}	70.0	2025-06-05 00:49:50.309857+00:00
Dave4	シナリオ1	2026-2050	{'収量': 5000.0, '洪水被害': 0.0, '予算': 150000000.0, '生態系': 99.99995, '都市利便性': 4.99}	{'収量': 50.0, '洪水被害': 100.0, '予算': 85.0, '生態系': 100.0, '都市利便性': 5.0}	68.0	2025-06-05 01:01:31.433681+00:00
Dave4	シナリオ1	2051-2075	{'収量': 4418.7865756216615, '洪水被害': 58104675.77116712, '予算': 446000000.0, '生態系': 99.98669999999998, '都市利便性': 15.35754801281201}	{'収量': 44.2, '洪水被害': 70.9, '予算': 55.4, '生態系': 100.0, '都市利便性': 15.4}	57.17999999999999	2025-06-05 01:01:44.685839+00:00
Dave4	シナリオ1	2076-2100	{'収量': 4687.978365227388, '洪水被害': 31168830.14392789, '予算': 601000000.0, '生態系': 99.91144999999995, '都市利便性': 65.03988610850456}	{'収量': 46.9, '洪水被害': 84.4, '予算': 39.9, '生態系': 99.9, '都市利便性': 65.0}	67.22	2025-06-05 01:01:55.021787+00:00
JIN	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	62.38	2025-05-25 03:43:05.995591+00:00
JIN	シナリオ1	2051-2075	{'収量': np.float64(4371.5552118380965), '洪水被害': np.float64(62827812.14952366), '予算': np.float64(160000000.0), '生態系': np.float64(99.98669999999998), '都市利便性': np.float64(0.0)}	{'収量': 43.7, '洪水被害': 68.6, '予算': 84.0, '生態系': 100.0, '都市利便性': 0.0}	59.260000000000005	2025-05-25 03:45:11.433764+00:00
JIN	シナリオ1	2076-2100	{'収量': np.float64(4266.7865125370645), '洪水被害': np.float64(46779473.04984046), '予算': np.float64(200000000.0), '生態系': np.float64(99.91144999999995), '都市利便性': np.float64(25.739655832718405)}	{'収量': 42.7, '洪水被害': 76.6, '予算': 80.0, '生態系': 99.9, '都市利便性': 25.7}	64.98	2025-05-25 03:46:46.615373+00:00
JK	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(562000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 43.8, '生態系': 100.0, '都市利便性': 0.0}	58.760000000000005	2025-05-25 02:52:26.856386+00:00
JK	シナリオ1	2051-2075	{'収量': np.float64(4296.838495920152), '洪水被害': np.float64(70299483.74131806), '予算': np.float64(336000000.0), '生態系': np.float64(99.98469999999999), '都市利便性': np.float64(0.0)}	{'収量': 43.0, '洪水被害': 64.9, '予算': 66.4, '生態系': 100.0, '都市利便性': 0.0}	54.86	2025-05-25 02:55:17.376081+00:00
JK	シナリオ1	2076-2100	{'収量': np.float64(2485.107148856949), '洪水被害': np.float64(98055853.27806129), '予算': np.float64(105000000.0), '生態系': np.float64(97.87345024917924), '都市利便性': np.float64(0.0)}	{'収量': 24.9, '洪水被害': 51.0, '予算': 89.5, '生態系': 97.9, '都市利便性': 0.0}	52.66	2025-05-25 02:56:33.869967+00:00
Junくん	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(281000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 71.9, '生態系': 100.0, '都市利便性': 0.0}	64.38	2025-05-25 05:22:22.342676+00:00
Junくん	シナリオ1	2051-2075	{'収量': np.float64(4215.20356939059), '洪水被害': np.float64(78462976.39427432), '予算': np.float64(467000000.0), '生態系': np.float64(97.58871301460977), '都市利便性': np.float64(0.0)}	{'収量': 42.2, '洪水被害': 60.8, '予算': 53.3, '生態系': 97.6, '都市利便性': 0.0}	50.78	2025-05-25 05:26:36.708532+00:00
Junくん	シナリオ1	2076-2100	{'収量': np.float64(2608.538565138462), '洪水被害': np.float64(104801963.91627425), '予算': np.float64(150000000.0), '生態系': np.float64(59.88363006409861), '都市利便性': np.float64(0.0)}	{'収量': 26.1, '洪水被害': 47.6, '予算': 85.0, '生態系': 59.9, '都市利便性': 0.0}	43.72	2025-05-25 05:28:16.863106+00:00
NE	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	62.38	2025-05-25 04:20:23.572786+00:00
NE	シナリオ1	2051-2075	{'収量': np.float64(4659.896349401023), '洪水被害': np.float64(33993698.39323101), '予算': np.float64(60000000.0), '生態系': np.float64(99.98669999999998), '都市利便性': np.float64(0.0)}	{'収量': 46.6, '洪水被害': 83.0, '予算': 94.0, '生態系': 100.0, '都市利便性': 0.0}	64.72	2025-05-25 04:23:41.264436+00:00
NE	シナリオ1	2076-2100	{'収量': np.float64(3953.3466353647127), '洪水被害': np.float64(104665336.46352875), '予算': np.float64(255000000.0), '生態系': np.float64(99.93545000000006), '都市利便性': np.float64(0.0)}	{'収量': 39.5, '洪水被害': 47.7, '予算': 74.5, '生態系': 99.9, '都市利便性': 0.0}	52.32000000000001	2025-05-25 04:26:00.358294+00:00
ashino	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(0.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 100.0, '生態系': 100.0, '都市利便性': 0.0}	70.0	2025-05-25 00:01:45.775321+00:00
ashino	シナリオ1	2051-2075	{'収量': np.float64(4642.801447698495), '洪水被害': np.float64(33124315.121470205), '予算': np.float64(105000000.0), '生態系': np.float64(99.99869999999996), '都市利便性': np.float64(0.0)}	{'収量': 46.4, '洪水被害': 83.4, '予算': 89.5, '生態系': 100.0, '都市利便性': 0.0}	63.86	2025-05-25 00:02:07.720780+00:00
ashino	シナリオ1	2076-2100	{'収量': np.float64(3036.541271750306), '洪水被害': np.float64(49235455.68260036), '予算': np.float64(105000000.0), '生態系': np.float64(99.98344999999995), '都市利便性': np.float64(0.0)}	{'収量': 30.4, '洪水被害': 75.4, '予算': 89.5, '生態系': 100.0, '都市利便性': 0.0}	59.06	2025-05-25 00:02:30.271869+00:00
ashino2	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(467000000.0), '生態系': np.float64(99.995), '都市利便性': np.float64(0.0)}	{'収量': 1.7, '洪水被害': -0.0, '予算': 0.5, '生態系': 100.0, '都市利便性': 0.0}	20.44	2025-05-24 03:42:23.552085+00:00
ashino2	シナリオ1	2051-2075	{'収量': np.float64(4522.343111539861), '洪水被害': np.float64(34387843.74605752), '予算': np.float64(105000000.0), '生態系': np.float64(99.56491841392517), '都市利便性': np.float64(0.0)}	{'収量': 1.5, '洪水被害': 17.2, '予算': 0.1, '生態系': 99.6, '都市利便性': 0.0}	23.68	2025-05-24 03:43:28.931368+00:00
ashino2	シナリオ1	2076-2100	{'収量': np.float64(3199.340146637738), '洪水被害': np.float64(76650504.20267065), '予算': np.float64(246000000.0), '生態系': np.float64(98.43991841392527), '都市利便性': np.float64(0.0)}	{'収量': 1.1, '洪水被害': 38.3, '予算': 0.2, '生態系': 98.4, '都市利便性': 0.0}	27.6	2025-05-24 03:44:18.622576+00:00
grape	シナリオ1	2026-2050	{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}	{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}	20.34	2025-05-24 02:11:33.870269+00:00
grape	シナリオ1	2051-2075	{'収量': 4806.724820871194, '洪水被害': 19327517.912880532, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}	{'収量': 1.6, '洪水被害': 9.7, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}	2.26	2025-05-24 02:11:45.786647+00:00
grape	シナリオ1	2076-2100	{'収量': 3258.248741049119, '洪水被害': 88369069.0756973, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}	{'収量': 1.1, '洪水被害': 44.2, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}	9.06	2025-05-24 02:11:55.186729+00:00
jiro	シナリオ1	2026-2050	{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}	{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}	20.34	2025-05-24 03:09:44.442857+00:00
jiro	シナリオ1	2051-2075	{'収量': 1437.248292827357, '洪水被害': 17947022.16704353, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}	{'収量': 0.5, '洪水被害': 9.0, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}	1.9	2025-05-24 03:09:54.789906+00:00
