Yield,Flood Damage,Budget,Ecosystem,Urban Convenience,Forest Area,Resident Burden,Policy_ID,RCP,planting_trees_amount_t1,house_migration_amount_t1,dam_levee_construction_cost_t1,paddy_dam_construction_cost_t1,capacity_building_cost_t1,agricultural_RnD_cost_t1,transportation_invest_t1,planting_trees_amount_t2,house_migration_amount_t2,dam_levee_construction_cost_t2,paddy_dam_construction_cost_t2,capacity_building_cost_t2,agricultural_RnD_cost_t2,transportation_invest_t2,planting_trees_amount_t3,house_migration_amount_t3,dam_levee_construction_cost_t3,paddy_dam_construction_cost_t3,capacity_building_cost_t3,agricultural_RnD_cost_t3,transportation_invest_t3,Cluster
330082.7097100551,3979894493.802728,3473250000,12.521912746835495,99.52260853553688,42.46452500230712,56015.46428007106,0,2.6,1,1,0,2,1,2,2,2,1,0,2,2,2,1,0,1,2,2,0,1,2,0
185664.04649151256,10142403765.337788,9421500000,-59.431539887005385,100.0,84.92905000461424,142991.68756397322,1,8.5,2,0,1,0,1,2,0,2,2,1,2,0,0,0,2,2,0,2,0,2,1,1
240095.06986860605,7222458263.5132475,8746500000,25.710240495431893,99.38025066477182,84.92905000461424,104928.83888620918,2,6.0,2,1,1,0,1,1,0,1,1,0,1,2,2,1,0,0,2,1,0,1,0,2
338983.1906349074,2212731304.8539357,17821500000,24.764352181389196,99.03871666929862,84.92905000461424,45025.31278475392,3,2.6,2,2,2,1,0,1,2,1,2,1,0,0,1,0,0,1,1,2,0,2,1,4
226978.24460824617,6717966186.283731,7725000000,-49.027076554494116,100.0,0.0,95918.5269453606,4,6.0,0,0,1,2,1,0,0,2,1,2,1,0,2,1,0,1,1,1,2,0,0,1
306532.7550361005,4853719747.174498,9496500000,24.382739744596385,99.51817650030952,84.92905000461424,72808.25199732468,5,4.5,2,1,1,0,1,2,0,1,2,2,2,1,0,1,2,1,2,0,0,1,0,4
331526.56639895675,2605664258.9820766,1875000000,0.0,98.97515155227799,0.0,36497.52733738837,6,1.9,0,2,0,2,1,0,2,0,2,1,0,2,0,2,0,1,2,1,2,0,0,0
251861.35267776652,4371142475.6434765,16898250000,10.793426487992862,99.47996069256283,42.46452500230712,73512.2443012401,7,6.0,1,1,2,0,2,0,2,1,2,1,2,0,2,0,1,2,2,0,0,0,2,4
204498.51883275685,8166715416.764587,10223250000,-59.431539887005385,99.08295223236871,42.46452500230712,117584.36639403495,8,8.5,1,2,1,0,2,2,1,2,1,2,1,2,1,0,2,1,1,1,0,0,1,1
344438.8280102613,1892244550.2236571,16223250000,10.429061293811353,99.0033368407374,42.46452500230712,38819.329590196765,9,2.6,1,2,2,0,2,1,0,1,0,1,0,2,1,0,1,2,1,0,1,2,0,4
117703.66554264975,14744431539.723562,2146500000,22.293906294970792,98.8689341897289,84.92905000461424,198704.0824443005,10,8.5,2,2,0,2,0,1,1,2,0,0,2,2,0,1,0,1,0,2,2,0,0,2
321003.71281409863,3076455749.691075,17146500000,24.92930160984787,100.0,84.92905000461424,57009.465733229816,11,4.5,2,0,2,2,2,2,0,2,2,2,1,1,2,0,0,1,1,1,1,2,1,4
343684.9991458061,2982047898.620328,2746500000,23.863090201962695,100.0,84.92905000461424,42004.90033192954,12,1.9,2,0,0,2,0,2,1,0,1,2,0,1,0,1,2,1,0,1,0,0,0,0
171573.64410476154,7983525535.9636135,8798250000,-59.431539887005385,99.04711483259435,42.46452500230712,114063.63763005174,13,8.5,1,2,1,1,2,0,1,1,0,2,1,1,1,2,0,1,0,1,0,0,1,1
342643.57817294967,2090030619.655706,1050000000,0.0,99.520220096278,0.0,28750.490143333296,14,1.9,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,2,0,2,2,2,1,0
252440.49711708148,8370616000.864563,2798250000,-15.604277388966349,99.07312761134875,42.46452500230712,113994.71082107874,15,6.0,1,2,0,2,1,2,1,2,0,2,0,1,1,0,2,1,2,2,0,0,0,2
340429.5098795225,2915461311.018845,10321500000,21.033383766700776,99.49369974772225,84.92905000461424,47970.31447110489,16,2.6,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,0,1,0,1,2,2,4
286285.81881114136,5468600337.811251,9225000000,0.0,98.92432482513928,0.0,81173.68997169957,17,4.5,0,2,1,1,0,1,1,2,2,0,1,1,0,1,2,2,2,2,1,0,1,3
347196.238370723,2428659877.529781,10125000000,0.0,99.43309854587497,0.0,42303.828333473146,18,2.6,0,1,1,2,2,2,1,2,1,0,2,2,2,0,1,0,0,1,1,0,1,3
315371.0521037414,4318822721.260489,3300000000,-1.819464104211972,99.02721561373461,0.0,60421.55677801927,19,4.5,0,2,0,0,2,2,2,1,0,2,0,2,1,0,2,0,1,2,1,1,2,0
184032.9722048492,6250490658.7807865,15473250000,-56.7201506806111,99.01156102211975,42.46452500230712,97087.05608120131,20,8.5,1,2,2,0,2,0,0,0,2,1,1,0,0,1,0,0,0,2,1,2,1,1
