seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
0,01_no_policy,放置,343745441.3,208792333.3,254274575.2,330196619.9
0,02_hard_infra,堤防偏重,270322668.5,160886357.9,147792435.1,190321788.0
0,03_nature_based,自然共生偏重,330007201.2,196815839.5,223752208.8,286727663.7
0,04_agri_rnd,農業R&D偏重,340632396.3,208792333.3,217948870.7,264385132.8
0,05_relocation_capacity,移転・防災偏重,327449824.0,137369651.4,183287505.2,301908310.9
0,06_balanced,バランス型,305426130.2,146034590.2,179767664.1,260663687.6
0,07_late_response,後手対応,342084202.9,206887515.6,204622864.2,288088510.7
0,08_ecosystem_sacrifice,生態系犠牲型,270322668.5,160886357.9,147792435.1,190321788.0
0,09_flood_neglect,洪水軽視型,340632396.3,208792333.3,217948870.7,264385132.8
1,01_no_policy,放置,341732441.3,341732441.3,253192169.7,328909486.7
1,02_hard_infra,堤防偏重,293041491.2,293041491.2,147153417.1,189527555.1
1,03_nature_based,自然共生偏重,329559703.8,329559703.8,223538428.5,285793669.0
1,04_agri_rnd,農業R&D偏重,341732441.3,341732441.3,218582528.6,264318472.4
1,05_relocation_capacity,移転・防災偏重,324971089.1,324971089.1,181183333.7,299640163.5
1,06_balanced,バランス型,303959220.5,303959220.5,179091180.7,260381039.5
1,07_late_response,後手対応,340325700.3,340325700.3,204008185.7,287026106.9
1,08_ecosystem_sacrifice,生態系犠牲型,293041491.2,293041491.2,147153417.1,189527555.1
1,09_flood_neglect,洪水軽視型,341732441.3,341732441.3,218582528.6,264318472.4
2,01_no_policy,放置,339707266.6,339707266.6,252100698.8,327612381.1
2,02_hard_infra,堤防偏重,291275925.2,291275925.2,146509213.3,188727947.9
2,03_nature_based,自然共生偏重,327599431.3,327599431.3,223326048.8,285450217.9
2,04_agri_rnd,農業R&D偏重,339707266.6,339707266.6,219228204.3,264918259.0
2,05_relocation_capacity,移転・防災偏重,322888429.0,322888429.0,181519560.9,297680205.1
2,06_balanced,バランス型,302124791.2,302124791.2,178567268.0,260712756.2
2,07_late_response,後手対応,338590159.5,338590159.5,203422326.0,293305618.8
2,08_ecosystem_sacrifice,生態系犠牲型,291275925.2,291275925.2,146509213.3,188727947.9
2,09_flood_neglect,洪水軽視型,339707266.6,339707266.6,219228204.3,264918259.0
3,01_no_policy,放置,337669912.5,337669912.5,251000131.7,326305266.0
3,02_hard_infra,堤防偏重,289500228.0,289500228.0,145859807.1,215599413.3
3,03_nature_based,自然共生偏重,325627491.4,325627491.4,223115099.1,284390369.9
3,04_agri_rnd,農業R&D偏重,337669912.5,337669912.5,219885989.6,264735444.3
3,05_relocation_capacity,移転・防災偏重,320443547.7,320443547.7,179697741.7,295526727.7
3,06_balanced,バランス型,300239185.9,300239185.9,177921029.2,260346883.6
3,07_late_response,後手対応,336881147.4,336881147.4,202867586.3,291636105.4
3,08_ecosystem_sacrifice,生態系犠牲型,289500228.0,289500228.0,145859807.1,215599413.3
3,09_flood_neglect,洪水軽視型,337669912.5,337669912.5,219885989.6,264735444.3
4,01_no_policy,放置,335620375.8,335620375.8,249890438.6,324988105.0
4,02_hard_infra,堤防偏重,287714400.3,287714400.3,145205182.1,214687657.9
4,03_nature_based,自然共生偏重,323643881.9,323643881.9,222905608.5,283325937.5
4,04_agri_rnd,農業R&D偏重,335620375.8,335620375.8,220555976.4,264560557.4
4,05_relocation_capacity,移転・防災偏重,318382167.0,318382167.0,179538292.9,294116422.3
4,06_balanced,バランス型,298409499.1,298409499.1,177440719.5,260080224.8
4,07_late_response,後手対応,335202560.8,335202560.8,202346396.3,289924294.4
4,08_ecosystem_sacrifice,生態系犠牲型,287714400.3,287714400.3,145205182.1,214687657.9
4,09_flood_neglect,洪水軽視型,335620375.8,335620375.8,220555976.4,264560557.4
5,01_no_policy,放置,333558654.4,333558654.4,248771590.1,323660862.2
