seed,score,rain_events,rain_count,turn_rain_counts,shock_2050_2055,shock_2065_2075,shock_2080_2100,rain_count_good,rain_counts_increase,no_policy_severe,neglect_or_agri_severe,balanced_avoids_severe,hard_less_than_no_policy,resident_prompt_no_policy,housing_prompt_no_policy,balanced_no_resident_prompt,relocation_no_resident_prompt,rnd_delays_crop,infra_ecosystem_worse
1,220,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]",10,"[1, 4, 5]",True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,220,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]",10,"[2, 3, 5]",True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
4,220,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]",11,"[2, 3, 6]",True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
67,220,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]",14,"[4, 5, 5]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
333,220,"[[2029, 196.7552186021484], [2032, 164.69515462866806], [2039, 151.64968396165378], [2045, 164.43131607782922], [2059, 170.97888408450314], [2067, 220.70450691196567], [2068, 148.65085494667102], [2073, 180.89839921725488], [2086, 166.31792126864858], [2087, 235.55501597814143], [2092, 174.37023312485886], [2100, 175.22677830910405]]",12,"[4, 4, 4]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
334,220,"[[2028, 196.72605010420884], [2031, 164.72165980372975], [2038, 151.69819342444245], [2044, 164.4576845238624], [2058, 170.99380911674336], [2066, 220.63804282323605], [2067, 148.70195974764292], [2072, 180.89694650426787], [2085, 166.3395897191281], [2086, 235.4671720405207], [2091, 174.37906512130124], [2099, 175.23417373890402]]",12,"[4, 4, 4]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
335,220,"[[2027, 196.69688160626924], [2030, 164.74816497879144], [2037, 151.7467028872311], [2043, 164.4840529698956], [2057, 171.00873414898362], [2065, 220.5715787345065], [2066, 148.75306454861482], [2071, 180.89549379128087], [2084, 166.3612581696076], [2085, 235.37932810289996], [2090, 174.38789711774365], [2098, 175.241569168704]]",12,"[4, 4, 4]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
350,220,"[[2042, 191.56140831130406], [2050, 219.5746174035626], [2051, 149.5196365631932], [2056, 180.87370309647565], [2069, 166.68628492680034], [2070, 234.06166903858895], [2083, 175.35250061570355], [2087, 204.6135672707517], [2090, 171.72210823602052], [2092, 176.7039662514713], [2094, 188.22034386517677], [2096, 179.06232926982798], [2098, 225.83545992327134], [2099, 183.01907136434093]]",14,"[2, 4, 8]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
351,220,"[[2041, 191.5417269255601], [2049, 219.508153314833], [2050, 149.57074136416506], [2055, 180.87225038348862], [2068, 166.70795337727986], [2069, 233.9738251009682], [2082, 175.35989604550352], [2086, 204.57464814473062], [2089, 171.7351354937426], [2091, 176.7091370798531], [2093, 188.20748809952525], [2095, 179.06379111729152], [2097, 225.76422364008687], [2098, 183.0143864830396]]",14,"[3, 3, 8]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
352,220,"[[2040, 191.52204553981616], [2048, 219.44168922610342], [2049, 149.62184616513696], [2054, 180.87079767050162], [2067, 166.7296218277594], [2068, 233.88598116334748], [2081, 175.3672914753035], [2085, 204.53572901870956], [2088, 171.7481627514647], [2090, 176.71430790823493], [2092, 188.19463233387373], [2094, 179.06525296475505], [2096, 225.6929873569024], [2097, 183.00970160173824]]",14,"[3, 3, 8]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
422,220,"[[2026, 220.70644753398875], [2027, 195.49979638729434], [2039, 151.53867836665523], [2053, 213.00869673718728], [2057, 167.97488248406057], [2075, 233.09126734548136], [2078, 212.67187283876575], [2080, 161.30657651736234], [2088, 198.95638583716794], [2092, 169.13427199489658], [2093, 187.58948011178975], [2099, 223.14147476486275], [2100, 194.01345435109323]]",13,"[3, 3, 7]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
423,220,"[[2026, 195.4727191288189], [2038, 151.58737776813004], [2052, 212.95353777868638], [2056, 167.9948435517892], [2074, 233.00569542021807], [2077, 212.61946607665038], [2079, 161.33646549963242], [2087, 198.9264592018815], [2091, 169.15131818405743], [2092, 187.5775923604399], [2098, 223.07452944822475], [2099, 193.9917424917622], [2100, 211.38369429239285]]",13,"[2, 3, 8]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
424,220,"[[2037, 151.63607716960485], [2051, 212.89837882018548], [2055, 168.0148046195178], [2073, 232.9201234949548], [2076, 212.56705931453504], [2078, 161.36635448190253], [2086, 198.89653256659503], [2090, 169.16836437321828], [2091, 187.56570460909003], [2097, 223.00758413158673], [2098, 193.97003063243116], [2099, 211.3350697107092]]",12,"[1, 3, 8]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
425,220,"[[2036, 151.68477657107962], [2050, 212.84321986168456], [2054, 168.03476568724642], [2072, 232.83455156969154], [2075, 212.5146525524197], [2077, 161.3962434641726], [2085, 198.86660593130856], [2090, 187.55381685774017], [2096, 222.94063881494873], [2097, 193.9483187731001], [2098, 211.28644512902554]]",11,"[2, 3, 6]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
426,220,"[[2035, 151.73347597255443], [2049, 212.78806090318366], [2053, 168.05472675497504], [2071, 232.7489796444283], [2074, 212.46224579030437], [2076, 161.42613244644272], [2084, 198.8366792960221], [2089, 187.5419291063903], [2095, 222.87369349831073], [2096, 193.92660691376906], [2097, 211.2378205473419]]",11,"[2, 3, 6]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
427,220,"[[2034, 151.78217537402924], [2048, 212.73290194468274], [2052, 168.07468782270365], [2070, 232.663407719165], [2073, 212.40983902818903], [2075, 161.4560214287128], [2083, 198.80675266073564], [2088, 187.53004135504045], [2094, 222.80674818167273], [2095, 193.90489505443801], [2096, 211.18919596565823]]",11,"[2, 4, 5]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
428,220,"[[2047, 212.67774298618184], [2051, 168.09464889043227], [2069, 232.57783579390173], [2072, 212.35743226607366], [2074, 161.4859104109829], [2082, 198.77682602544917], [2087, 187.5181536036906], [2093, 222.73980286503473], [2094, 193.883183195107], [2095, 211.1405713839746]]",10,"[1, 4, 5]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
429,220,"[[2046, 212.62258402768094], [2050, 168.11460995816088], [2068, 232.49226386863847], [2071, 212.30502550395832], [2073, 161.515799393253], [2081, 198.74689939016272], [2086, 187.50626585234073], [2092, 222.6728575483967], [2093, 193.86147133577595], [2094, 211.09194680229092]]",10,"[2, 3, 5]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
430,220,"[[2045, 212.56742506918002], [2049, 168.1345710258895], [2067, 232.4066919433752], [2070, 212.25261874184298], [2072, 161.54568837552307], [2080, 198.71697275487625], [2085, 187.49437810099087], [2091, 222.6059122317587], [2092, 193.8397594764449], [2093, 211.04332222060728]]",10,"[2, 3, 5]",False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
239,210,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]",16,"[2, 6, 8]",True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
