seed,scenario,label,severe_flood_count,major_flood_count,flood_notice_count,severe_flood_years,major_flood_years,crop_low_year,ecosystem_low_year,ecosystem_critical_year,resident_capacity_low_t2,high_risk_houses_t2,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100,final_available_budget_mana,final_crop_yield,final_ecosystem_level,final_risky_houses,final_resident_capacity,rain_events
1,01_no_policy,放置,1,1,4,2055,2086,2063,2095,,2075,2075,341732441.3,341732441.3,253192169.7,328909486.7,3.221,4653.0,71.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,02_hard_infra,堤防偏重,0,0,1,,,2063,2069,,,,293041491.2,293041491.2,147153417.1,189527555.1,3.774,4653.0,68.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,03_nature_based,自然共生偏重,0,1,2,,2055,2052,,,2075,2075,329559703.8,329559703.8,223538428.5,285793669.0,3.358,4606.4,73.77,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,04_agri_rnd,農業R&D偏重,1,0,1,2055,,,,,2075,2075,341732441.3,341732441.3,218582528.6,264318472.4,3.3,5000.0,76.58,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,05_relocation_capacity,移転・防災偏重,0,1,1,,2055,2063,2095,,,,324971089.1,324971089.1,181183333.7,299640163.5,0.371,4653.0,71.64,1391.1,0.391,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,06_balanced,バランス型,0,1,1,,2055,,,,,,303959220.5,303959220.5,179091180.7,260381039.5,3.708,4958.3,72.5,8083.6,0.391,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,07_late_response,後手対応,1,0,1,2055,,2091,2086,,,2075,340325700.3,340325700.3,204008185.7,287026106.9,3.348,4917.5,71.04,8596.4,0.369,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,08_ecosystem_sacrifice,生態系犠牲型,0,0,1,,,2063,2069,,,,293041491.2,293041491.2,147153417.1,189527555.1,3.774,4653.0,68.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,09_flood_neglect,洪水軽視型,1,0,1,2055,,,,,2075,2075,341732441.3,341732441.3,218582528.6,264318472.4,3.3,5000.0,76.58,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
2,01_no_policy,放置,1,1,4,2054,2085,2062,2095,,2075,2075,339707266.6,339707266.6,252100698.8,327612381.1,3.645,4488.0,71.64,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,02_hard_infra,堤防偏重,0,0,1,,,2062,2070,,,,291275925.2,291275925.2,146509213.3,188727947.9,4.1,4488.0,68.64,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,03_nature_based,自然共生偏重,0,1,2,,2054,2051,,,2075,2075,327599431.3,327599431.3,223326048.8,285450217.9,3.754,4443.1,73.63,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,04_agri_rnd,農業R&D偏重,1,0,1,2054,,,,,2075,2075,339707266.6,339707266.6,219228204.3,264918259.0,3.717,4928.0,76.43,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
